,search_term,_ - eng_search_key,Class,_ - url,_ - Название,Comment on relevancs,_ - Номер ГИМ,_ - Отдел/коллекция,_ - Инвентарный номер,_ - Датировка,_ - Размер,"_ - Материал, техника",_ - Номер ГК,_ - Ключевые слова,_ - Место создания,Contemporary_Toponyms,fcodeName,toponymName,coordinates,lat,long,Country,geonames 3,"_ - Автор, мастер/Изготовитель",_ - Шифр ОПИ,_ - Комплект,_ - Место находки,_ - Формат,"_ - Лист, страницы",_ - Археологический памятник,_ - Персоналии,_ - Многотомное издание: автор,_ - Многотомное издание: Название,_ - Экспозиция,_ - Выставки,_ - Альбомы,_ - Аннотация
188,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816747?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=204,Письмо к Розановой М.А. и О.Н. в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1366,Письменные источники/Письменные источники,Арх. 6988,28 декабря 1990 г.,"21,2х16,2 см","Бумага, синяя шариковая ручка, рукопись",25570589.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
189,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816748?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=205,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1367,Письменные источники/Письменные источники,Арх. 6988,28 декабря 1990 г. – 4 января 1991 г.,"Лист 1 - конверт: 10,4х22 см; лист 2 - марка: 3х2,5 см; лист 3 - марка: 2,5х2 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570578.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
190,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816749?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=206,Письмо к Розановой М.А. и О.Н. в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1368,Письменные источники/Письменные источники,Арх. 6988,13 января 1991 г.,"21,2х16,2 см","Бумага, синяя шариковая ручка, рукопись",25570558.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
191,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816750?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=207,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1369,Письменные источники/Письменные источники,Арх. 6988,13 января 1991 г.,"Лист 1 - конверт: 10,4х23,2 см; лист 2 - марка: 2,5х2 см; лист 3 - марка: 4х2,5 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570303.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
192,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816751?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=208,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1370,Письменные источники/Письменные источники,Арх. 6988,26 января 1991 г.,"20,8х16,2 см","Бумага, черная шариковая ручка, рукопись",25570673.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
193,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816752?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=209,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1371,Письменные источники/Письменные источники,Арх. 6988,26 – 29 января 1991 г.,"Лист 1 - конверт: 10,5х23,5 см; лист 2 - марка: 2,5х3,4 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570146.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
194,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816753?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=210,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1372,Письменные источники/Письменные источники,Арх. 6988,14 февраля 1991 г.,"21,1х16,3 см","Бумага, синяя шариковая ручка, рукопись",25570267.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
195,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816754?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=211,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1373,Письменные источники/Письменные источники,Арх. 6988,14 – 17 февраля 1991 г.,"Лист 1 - конверт: 10,4х24 см; лист 2 - марка: 2,5х2 см; лист 3: 4х2,5 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570138.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
196,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816755?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=212,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1374,Письменные источники/Письменные источники,Арх. 6988,30 августа – 7 октября 1991 г.,"25,4х20,4 см","Бумага, синяя, черная шариковая ручка, рукопись",25570227.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
197,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816756?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=213,Конверт-авиа к письму Любецкой Э.М. от   30 августа – 7 октября 1991 г.  с адресами корреспондента и адресата.,,ГИМ 114846/1375,Письменные источники/Письменные источники,Арх. 6988,7 октября 1991 г.,"Лист 1 - конверт: 10,4х24 см; лист 2 - марка: 2,5х3 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570559.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
198,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816757?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=214,Письмо к Розановым М.А. и О.Н. в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1376,Письменные источники/Письменные источники,Арх. 6988,21 ноября 1991 г. – 5 января 1992 г.,"25,4х20,4 см","Бумага, синяя шариковая ручка, рукопись",25570590.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
199,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816758?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=215,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1377,Письменные источники/Письменные источники,Арх. 6988,21 ноября 1991 г. – 5 января 1992 г.,"Лист 1 - конверт: 10,4х24 см; лист 2 - марка: 2,5х4 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570292.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
200,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816759?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=216,Письмо к Розановым М.А. и О.Н. в Москву (СССР) от Любецкой Э.М. из Тель-Авива,,ГИМ 114846/1378,Письменные источники/Письменные источники,Арх. 6988,17 января 1992 г.,"25,3х20,4 см","Бумага, черная шариковая ручка, рукопись",25570221.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
201,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816760?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=217,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1379,Письменные источники/Письменные источники,Арх. 6988,17 января 1992 г.,"Лист 1 - конверт: 10,5х23 см; лист 2 - марка: 2,5х4 см","Бумага, черная шариковая ручка, печать типографская",25570560.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
202,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816761?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=218,Открытка - письмо к Розановым М.А. и О.Н. в Москву (РФ) от Любецкой Э.М. из Тель-Авива,,ГИМ 114846/1380,Письменные источники/Письменные источники,Арх. 6988,25 августа 1992 г.,"16,7х11,3 см (в закрытом виде)","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570516.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
203,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816762?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=219,Письмо к Розановым М.А. и О.Н. в Москву (СССР) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1381,Письменные источники/Письменные источники,Арх. 6988,19 марта 1995 г.,"27,5х20,5 см","Бумага, черная шариковая ручка, рукопись",25570297.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
204,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816763?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=220,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1382,Письменные источники/Письменные источники,Арх. 6988,19 марта 1995 г.,"Лист 1 - конверт: 11х22,9 см; лист 2-4 - марки: 2,5х3,5 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570588.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
205,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816764?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=221,Опись пропавшей зарубежной продуктовой бандероли для семьи Розановой М.А.,,ГИМ 114846/1383,Письменные источники/Письменные источники,Арх. 6988,До 2 апреля 1995 г.,"14,7х20,8 см (в открытом виде)","Бумага-бланк, чернила черные, печать типографская, рукопись",25570555.0,чернила,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
206,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816765?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=222,Конверт-авиа к описи Любецкой Э.М. с московским адресом Розановой М.А.,,ГИМ 114846/1384,Письменные источники/Письменные источники,Арх. 6988,2 апреля 1995 г.,"Лист 1 - конверт: 11х21,4 см; лист 2 - марка: 3х2,6 см; лист 3 - марка: 2,6х3 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570577.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
207,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816766?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=223,Письмо к Розановой М.А. в Москву (РФ) от Любецкой Э.М. из г. Холон.,,ГИМ 114846/1385,Письменные источники/Письменные источники,Арх. 6988,18 – 21 ноября 1996 г.,"27,9х20,7 см","Бумага, синяя шариковая ручка, рукопись",25570296.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
208,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816767?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=224,Конверт к письму Любецкой Э.М. от 18 – 21 ноября 1996 г. с адресами корреспондента и адресата.,,ГИМ 114846/1386,Письменные источники/Письменные источники,Арх. 6988,18 ноября – 4 декабря 1996 г.,"Лист 1 - конверт: 11х22 см; лист 2 - марка: 5,4х2,5 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570268.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
209,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816768?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=225,Письмо к Розановой М.А. в Москву (РФ) от Любецкой Э.М. из Тель-Авива.,,ГИМ 114846/1387,Письменные источники/Письменные источники,Арх. 6988,25 марта 1997 г.,"Лист 1: 18,9х14,8 см; лист 2: 13,7х20,4 см","Бумага, синяя, черная шариковая ручка, рукопись",25570216.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
210,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5842499?page=6&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=274,Карточка с гербарием цветов со Святой Земли,,ГИМ 114962/1004,Письменные источники/Письменные источники,Арх. 6991/1004,1990-е – 2000-е гг.,11х7 см,"Бумага, типографская печать, гербарий",13424691.0,типографская печать,"Ближний Восток, Израиль, г. Иерусалим","Израиль, Иерусалим",seat of a first-order administrative division,Jerusalem,"31.76904,35.21633",31.76904,35.21633,Israel,"city, village,...",,Ф.605,,,,,,,,,,,,
211,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/5846730?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=59,Евреи и русские крестьяне.,,ГИМ 55709/6926,Изобразительные материалы/Печатная графика,ДК 6930,1840-1842 гг.,"25,7х17 см","Бумага, литография",31547842.0,Европа Париж Франция,"Западная Европа, Франция, г. Париж","Франция, Париж",capital of a political entity,Paris,"48.85341,2.3488",48.85341,2.3488,France,"city, village,...",Riffautt,,,,,,,,,,,,,
212,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/5853308?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=97,"Еврейская свадьба. Лист из II выпуска альбома ""Малюнки Тараса Шевченко"".",,ГИМ 83000/622,Изобразительные материалы/Печатная графика,И III 48542,1914 г.,"28х38,5 см","Бумага, цинкография",19086350.0,цинкография бракосочетание Санкт-Петербург,"Россия, г. Санкт-Петербург","Россия, Санкт-Петербург",seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Шевченко Т.Г. (1814-1861). Типография Сириус,,,,,,,,,,,,,
213,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/5985239?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=21,"Мальбим Меир-Левуш (1810-1880), еврейский раввин, автор книги ""Тора у-мицва"".",,ГИМ 55709/2623,Изобразительные материалы/Печатная графика,ДК 2624,1885 г.,"49,2х33,9 см","Бумага, литография",17131158.0,портрет,Вильно,Вильно,populated place,Vilnoandriivka,"47.96667,35.15",47.96667,35.15,Ukraine,"city, village,...",Лит. Н. Маца в Вильне.,,,,,,,,,,,,,
214,жид,jew (derogative),Jewish,https://catalog.shm.ru/entity/OBJECT/6031351?query=%D0%B6%D0%B8%D0%B4&index=25,"Жиды-политики. Маскарадный герой. Лист 18 из художественного альбома ""Пчелы"".",,ГИМ 95172/10269,Изобразительные материалы/Печатная графика,И XI 280/21,1877 г.,"41,5х61,5 см","Бумага, ксилография торцовая",20367218.0,ксилография ксилография торцовая Санкт-Петербург,"Россия, г. Санкт-Петербург","Россия, Санкт-Петербург",seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...","Маковский В. Е., автор оригинала, Chelmicki J., гравер, Неизвестный гравер. Типография (бывшая) А.М. Котомина",,,,,,,,,,,,,
215,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/6034949?page=6&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=266,"Самуил помазывает Саула первым царем Израиля (1 Кн. Цар. 10:1). Лист из увража ""Icones Biblicae"".",,ГИМ 40010/37,Изобразительные материалы/Печатная графика,И XI 228/37,1626 г.,"12,5х18 см","Бумага, офорт",,офорт Европа Франция,"Западная Европа, Франция, Страсбург","Франция, Страсбург",seat of a first-order administrative division,Strasbourg,"48.58392,7.74553",48.58392,7.74553,France,"city, village,...","Мериан Маттеус, Matthaus Merian (1593-1650), гравер. Изд. Zetzner",,,,,,,,,,,,,
216,израильский,Israeli,Jewish,https://catalog.shm.ru/entity/OBJECT/6035078?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9&index=3,"Израильские женщины встречают Саула и Давида после победы над Филистимлянами (1 Цар. 18:6). Лист из увража ""Icones Biblicae"".",,ГИМ 40010/39,Изобразительные материалы/Печатная графика,И XI 228/39,1626 г.,"12,5х18 см","Бумага, офорт",,офорт Европа Франция,"Западная Европа, Франция, Страсбург","Франция, Страсбург",seat of a first-order administrative division,Strasbourg,"48.58392,7.74553",48.58392,7.74553,France,"city, village,...","Мериан Маттеус, Matthaus Merian (1593-1650), гравер. Изд. Zetzner",,,,,,,,,,,,,
217,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/6066232?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=19,«Еврей». Лубочная картинка.,,ГИМ 55709/4352,Изобразительные материалы/Печатная графика,ДК 4355,1857 г.,"41,6х34 см","Бумага, литография",17144001.0,Москва,"Российская империя, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Металл. П. Н. Ширапова,,,,,,,,,,,,,
218,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/6066622?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=20,«Еврей». Лубочная картинка.,,ГИМ 55709/4383,Изобразительные материалы/Печатная графика,ДК 4387,1857 г.,43х34 см,"Бумага, литография",17143925.0,Москва,"Российская империя, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Металлогр. П. Н. Ширапова,,,,,,,,,,,,,
219,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/6066627?page=4&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=155,«Обрезание. Будь честенъ и справедливъ». Лубочная картинка.,,ГИМ 55709/4384,Изобразительные материалы/Печатная графика,ДК 4388,1857 г.,"30,5х41,2 см","Бумага, литография",17143963.0,Москва,"Российская империя, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Металлогр. П. Н. Ширапова,,,,,,,,,,,,,
220,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/6158150?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=30,"Еврей. Лист из издания ""Народные картины лубочные"".",,ГИМ 81343/77,Изобразительные материалы/Печатная графика,И XI 288/77,1896 г. (?),"34,8х45 см","Бумага, фотолитография",20366311.0,Москва,"Россия, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",неизвестный литограф. Товарищество И.Д. Сытина,,,,,,,,,,,,,
221,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/6212950?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=206,Евреи (талмудисты). Лист из альбома «Description ethnographique des peuples de la Russie».,,ГИМ 95172/3031,Изобразительные материалы/Печатная графика,И XI 63/105,1862 г.,"52,5х39,5 см","Бумага, хромолитография, печать",,хромолитография Мюнхен,г. Мюнхен,Мюнхен,seat of a first-order administrative division,Munich,"48.13743,11.57549",48.13743,11.57549,Germany,"city, village,...","Виаль (Viale), Viale, автор рисунка, Паули Густав-Фёдор Христианович (Pauly Theodore, de), Pauly Theodore, de, автор - составитель. Imprimerie par J. В. Kuhn",,,,,,,,,,,,,
222,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/6216002?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=107,102. Еврейское кладбище. Лист из альбома «Картины Дрезденской галереи».,,ГИМ 95661/110,Изобразительные материалы/Печатная графика,И XI 318/110,1956 г.,26х35 см,"Бумага, офсетная печать",20367739.0,кладбище Москва,"Россия, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Рейсдал Якоб Изакс ван (1628/29-1682), автор оригинала. Изд. Московская печатная фабрика Гознака",,,,,,,,,,,,,
223,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/6308816?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=113,"Неемия с еврейским народом строят стену города Иерусалима. Лист из увража ""Icones Biblicae"".",,ГИМ 40010/69,Изобразительные материалы/Печатная графика,И XI 228/69,1630 г.,"12,5х18 см","Бумага, офорт",,офорт Европа Франция,"Западная Европа, Франция, Страсбург","Франция, Страсбург",seat of a first-order administrative division,Strasbourg,"48.58392,7.74553",48.58392,7.74553,France,"city, village,...","Мериан Маттеус, Matthaus Merian (1593-1650), гравер. Изд. Zetzner",,,,,,,,,,,,,
224,израильтянин,Israeli (somebody who lives in the country),Jewish,https://catalog.shm.ru/entity/OBJECT/6409127?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%82%D1%8F%D0%BD%D0%B8%D0%BD&index=3,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского / Орнаментация и футляр по рисункам и макету И. Ф. Рерберга. Лист 16. Война филистимлян с израильтянами,,ГИМ 105192/113,Книжный фонд/Книги 1918-1941 гг.,МФ/4-747,1933,"38,5х29,3 см","Бумага, типографская печать",16049514.0,типографская печать Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,,,,,,,,,,,,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского,
225,израильтянин,Israeli (somebody who lives in the country),Jewish,https://catalog.shm.ru/entity/OBJECT/6409261?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%82%D1%8F%D0%BD%D0%B8%D0%BD&index=4,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского / Орнаментация и футляр по рисункам и макету И. Ф. Рерберга. Лист 17. Поражение и бегство израильтян,,ГИМ 105192/114,Книжный фонд/Книги 1918-1941 гг.,МФ/4-748,1933,"38,5х29,3 см","Бумага, типографская печать",16049537.0,типографская печать Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,,,,,,,,,,,,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского,
226,израильтянин,Israeli (somebody who lives in the country),Jewish,https://catalog.shm.ru/entity/OBJECT/6410915?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%82%D1%8F%D0%BD%D0%B8%D0%BD&index=5,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского / Орнаментация и футляр по рисункам и макету И. Ф. Рерберга. Лист 58. Насилие израильтян над моавитянками,,ГИМ 105192/155,Книжный фонд/Книги 1918-1941 гг.,МФ/4-789,1933,"38,4х29,4 см","Бумага, типографская печать",16049484.0,типографская печать Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,,,,,,,,,,,,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского,
227,израильтянин,Israeli (somebody who lives in the country),Jewish,https://catalog.shm.ru/entity/OBJECT/6411698?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%82%D1%8F%D0%BD%D0%B8%D0%BD&index=1,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского / Орнаментация и футляр по рисункам и макету И. Ф. Рерберга. Лист 90. Поражение израильтян. Лист 90а. Изгнание израильтянами жителей земли Ханаанской,,ГИМ 105192/187,Книжный фонд/Книги 1918-1941 гг.,МФ/4-821,1933,"38,5х29,5 см","Бумага, типографская печать",16049494.0,типографская печать Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,,,,,,,,,,,,Древне-русская миниатюра : 100 листов  миниатюр с описанием и статьями М. Владимирова и Г. П. Георгиевского,
228,еврейка,jewess,Jewish,https://catalog.shm.ru/entity/OBJECT/6414348?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D0%BA%D0%B0&index=9,Народы Кавказа в национальных костюмах. Евреи - Еврейка из Кубы. 1910 г.,,ГИМ 108588/24,Изобразительные материалы/Печатная графика,И X-п 48,1938 г.,"14,5х10,5 см","Картон, печать",24745225.0,картон Москва,"CCCР, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Тильке М., худ. Гознак",,,,,,,,,,,,,
