,Reg number,Museum number,url,subject,query,Object type,Title,Type 1,Type 2,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Find|ProductionLocation,Toponym,"lat,lng",Production place - comment,Find spot 2,Find spot - comments,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Add ids,Cat no,Banknote serial number,Joined objects,Image
888,"18,430,609.90","18,430,609.90",https://www.britishmuseum.org/collection/object/W_1843-0609-9,armenian,armenian,finger-ring,,,,,,Silver ring set with octagonal cornelian which has an engraved design with St George killing the dragon and an Armenian inscription.,,,,,,,Ottoman dynasty,18thC,,,,,,,silver; cornelian,,,cast; engraved,Diameter: 20 millimetres ring ; Height: 18 millimetres bezel ; Width: 16 millimetres bezel,Inscription type: inscription Inscription position: bezel Inscription language: Armenian Inscription script: Armenian Inscription quoted: ԳՐԻԳՈՐ Inscription translation: Krikor (Gregory),,"Dalton 1912 / Franks Bequest Catalogue of the Finger Rings, Early Christian, Byzantine, Teutonic, Mediaeval and Later, Bequeathed by Sir Augustus Wollaston Franks, KCB, in which are included the other rings of the same period in the Museum.",Not on display,,,dragon| saint/martyr,Representation of: St George,,,,Purchased from: Harry Osborn Cureton,,,,1843,,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2015_12/3_17/acdc727b_1b31_4547_8d27_a563011d7508/preview_DSC_0165.jpg
889,AF.2209,AF.2209,https://www.britishmuseum.org/collection/object/H_AF-2209,armenian,armenian,finger-ring,,,,,,"Finger-ring; gold; hoop channelled round the outer side; mitre-shaped bezel projecting vertically, set with garnets and emeralds.",,,,,,,,18thC,Made in,Balkans,"43.97233,22.11567",?,,,gold; garnet; emerald,,,,Diameter: 0.84 inches,,"Text from Dalton 1912, Catalogue of Finger Rings:
Possibly from the Balkans. Cf. J Sendrei, Catalogue .... de la col. de bagues de Mme G. de Tarnoczy, p. 321, no. 96'.

According to Beatriz Chadour in her book 'Rings', Maey 1994, vol. ll, p. 615, about the Koch Collection, rings similar to this are of Turkish origin or from the Turkish regions in the southern Russian area.. One is described as Armenian.","Dalton 1912 / Franks Bequest Catalogue of the Finger Rings, Early Christian, Byzantine, Teutonic, Mediaeval and Later, Bequeathed by Sir Augustus Wollaston Franks, KCB, in which are included the other rings of the same period in the Museum.",Not on display,,"One stone missing, another badly damaged",religious object,,,,,Bequeathed by: Sir Augustus Wollaston Franks,,,,1897,,,"Britain, Europe and Prehistory",,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_11/11_10/2f9a0a7d_088b_4596_94cb_a3e000aaf193/preview_01576341_001.jpg
890,AF.2210,AF.2210,https://www.britishmuseum.org/collection/object/H_AF-2210,armenian,armenian,finger-ring,,,,,,"Finger-ring; gold; hoop channelled round the outer side; mitre-shaped bezel projecting vertically, with wavy outline and pierced; it contains a crystal over a rose foil.",,,,,,,,18thC,Made in,Balkans,"43.97233,22.11567",?,,,gold; mineral,,,pierced,Diameter: 0.92 inches,,"According to Beatriz Chadour in her book 'Rings', Maney 1994, vol ll, p. 615, about the Koch collection, rings like this are of Turkish origin or from the Turkish regions in the southern Russian area. One ring is described as Armenian.","Dalton 1912 / Franks Bequest Catalogue of the Finger Rings, Early Christian, Byzantine, Teutonic, Mediaeval and Later, Bequeathed by Sir Augustus Wollaston Franks, KCB, in which are included the other rings of the same period in the Museum.",Not on display,,,religious object,,,,,Bequeathed by: Sir Augustus Wollaston Franks,,,,1897,,,"Britain, Europe and Prehistory",,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_11/11_10/d65c119e_927b_4c7e_af1a_a3e000aaf674/preview_01576344_001.jpg
891,"19,560,329.10","19,560,329.10",https://www.britishmuseum.org/collection/object/W_1956-0329-1,armenian,armenian,flask,,,,,,Flask in pewter; mould-made relief image (repeated on both sides) of the Sacrifice of Abraham; Armenian inscription; made in Safavid Iran for an Armenian bishop; believed to have held consecrated holy oil (mayrun).,,,,,,,Safavid dynasty,18thC,Found/Acquired,Islamic Republic of Iran,"32,53",,Iran,,pewter,,,mould-made,Height: 24.10 centimetres; Width: 12.80 centimetres; Depth: 6 centimetres,Inscription type: inscription Inscription language: Armenian Inscription script: Armenian,,Akbarnia et al 2018 / The Islamic World: a History in Objects,On display (G42/dc18),,,old testament,Representation of: Abraham,,,,Purchased from: B Kent,,,,1956,,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/1_13/a31a5998_aef2_470f_9628_a92f00e539f0/preview_RRM13268_1_FINAL.jpg
892,"19,960,430.10","19,960,430.10",https://www.britishmuseum.org/collection/object/G_1996-0430-1,armenian,armenian,gem,,,,,,"A gem in translucent grey-blue chalcedony, representing a captive barbarian (Armenian or Parthian), which probably formed part of a miniature group of bound barbarians at the foot of a trophy.",,,,,,,Roman,50-150,,,,,,,chalcedony,,,,Height: 3.90 centimetres,,"Published in:
D.M. Bailey, ‘A chalcedony barbarian’ in M. Henig & D. Plantzos (eds), Classicism to Neo-classicism, Essays dedicated to Gertrud Seidmann (Oxford; 1999), 79-82.",,Not on display,"Exhibited:
2021-2022 27 July-21 March, London, BM G69a, Rivalling Rome:    Parthian coins and culture (unable to open to the public due to COVID-19 restrictions)",,prisoner,,,,,,,,Previous owner/ex-collection: Sir Augustus Wollaston Franks,1996,"The gem was donated by Franks to the museum at an unspecified date, and was transferred from the MLA department to the G&R department in 1996.",,Greek and Roman,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2019_9/5_11/2239a682_4bda_42f0_afb3_aabf00bb6906/preview_P_1.jpg
893,"As1987,07.6.l","As1987,07.6.l",https://www.britishmuseum.org/collection/object/W_As1987-07-6-l,armenian,armenian,hat; model,,,,,,"Armenian theological student's hat, model made of cloth (cotton), paper.",,,,,,,,,Found/Acquired|Found/Acquired,State of Israel|Palestine,"31.5,34.75|31.92157,35.20329",,Israel|Palestine,(Historic),cotton; paper,,,,Diameter: 4 centimetres; Height: 3 centimetres; Weight: 4 grammes,,,Akbarnia et al 2018 / The Islamic World: a History in Objects,Not on display,,,,,,,,Donated by: Jerusalem and Middle East Church Association,,,,1987,,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_15/18a4651b_53d0_4bf0_bde2_a3d901036ca3/preview_01169623_001.jpg
894,"As1987,07.6.r","As1987,07.6.r",https://www.britishmuseum.org/collection/object/W_As1987-07-6-r,armenian,armenian,hat; model,,,,,,"Armenian priest's hat, model made of cloth (silk), paper.",,,,,,,,,Found/Acquired|Found/Acquired,State of Israel|Palestine,"31.5,34.75|31.92157,35.20329",,Israel|Palestine,(Historic),silk; paper,,,,Diameter: 4 centimetres; Height: 8.50 centimetres; Weight: 9 grammes; Width: 25 centimetres,,,Akbarnia et al 2018 / The Islamic World: a History in Objects,Not on display,,,,,,,,Donated by: Jerusalem and Middle East Church Association,,,,1987,,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_15/5fe6ccb1_7d40_44a2_84c4_a3d9010360d4/preview_01169616_001.jpg
895,G.1,G.1,,armenian,armenian,jug,"The ""Abraham of Kütahya"" Ewer (Object)",,,,,"Spouted jug, made of blue and white glazed pottery. It has a globular body and an elaborate piece-moulded neck with a torus moulding and flaring rim, standing on a profiled foot. The handle is in the form of a scaly dragon with gaping mouth and serpentine tail. The straight tubular spout tapers and bends towards the tip. The vessel is painted in tones of cobalt blue with a band of split-palmette arabesques reserved on a cobalt ground above a narrower band of foliate scrolls on a white ground. The shoulder has a bracketed panels enclosing leaves bordered with darts; the torus moulding has a chain band; waisted neck with vertical spotted lappets separated by leaves, with an undulating rumi scroll below the rim. The spout has vertical cable bands between tadpole-like motifs. The base has an inscription in Armenian (in bolorgir) under the glaze: ""This vessel is in commemoration of Abraham, servant of God, of Kcotcay (Kutahya). In the year 959 (1510 AD), March llth"".",,,,,,,Ottoman dynasty,11 March 1510 (dated),Made in,İznik,"40.42861,29.72111",,,,pottery,,,glazed,Diameter: 7.30 centimetres foot ; Diameter: 7 centimetres rim ; Height: 17.10 centimetres,"Inscription type: inscription Inscription language: Armenian Inscription script: Armenian Inscription translation: ""This vessel is in commemoration of Abraham, servant of God, of Kcotcay (Kutahya).  In the year 959 (1510 AD), March llth"". Inscription note: The base with an inscription in Armenian (in bolorgir) under the glaze.","The Ottomans established a distinctive court style that appeared on objects  made across the empire. One of their greatest artistic achievements was the  glorious pottery of Iznik,  a centre of ceramic production established in the  1480s that continued for over 200 years. Over time, Iznik potters introduced  different shapes, styles and colours, culminating in the 1550s with a brilliant red  and a range of floral motifs, including the tulip, whose introduction  to Europe led  to ‘Tulipomania.’ 
The Ottoman elite, including Muslims, Christians and Jews, all  commissioned and consumed products such as Iznik ceramics. The Armenian  inscription on the base of this ewer commemorates ‘Abraham, servant of God, of  Kütahya.’ Kütahya was a thriving town under the Ottomans, with many Armenian  Christians residing there. 
The date 959 is in the Armenian calendar equivalent to 1510 AD.
Labels: Case No ... Ewer Godman; Godman; 35. The vessel is after a northern Italian prototype for liturgical use.","Atasoy & Raby 1989 / Iznik: The Pottery of Ottoman Turkey; Carswell 1998 / Iznik Pottery; Lane 1957 / Later Islamic Pottery: Persia, Syria, Egypt, Turkey; Godman 1901 / The Godman collection of Oriental and Spanish pottery and glass, 1865-1900; Soustiel 1985 / La céramique islamique; Akbarnia et al 2018 / The Islamic World: a History in Objects",On display (G43/dc1),"Exhibited:
2001 2 Mar-27 May, London, The British Library, 'Treasures from the Ark: 1700 Years of Armenian Christian Art'",Large chip in rim; spout broken and mended.,dragon,Illustration to: Abraham of Kutahya,,,,Bequeathed by: Miss Edith Godman,,,Previous owner/ex-collection: Frederick Du Cane Godman,1983,,,Middle East,,Miscellaneous number: 1983.1; Miscellaneous number: Godman 1; Miscellaneous number: Godman 35,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_16/39b64937_666d_490d_b5cc_a3b6010e9e84/preview_00022903_001.jpg
896,"2017,6012.7.a-f","2017,6012.7.a-f",https://www.britishmuseum.org/collection/object/W_2017-6012-7-a-f,armenian,armenian,lunch-box,,,,,,"Tiffin-style lunch-box made of tinned copper in six parts: one lid (a), three bowls/containers (b-c-d), and two hooked closures (e-f). With incised lines, diamond- and triangular-shaped motifs with cross-hatched lines, and curvilinear motifs. Lid has an undeciphered inscription (Armenian? Ottoman Turkish? date?) and a curved handle.",,,,,,,,1900-1930,Made in|Found/Acquired,Republic of Turkey|Ankara,"39,35|39.91987,32.85427",,Ankara,(city),copper; tin,,,engraved,Diameter: 16 centimetres lid ; Height: 24.50 centimetres full lunch-box set-up ; Height: 34 centimetres lid,,,,Not on display,,,,,,,,Donated by: Carola Clare Strong; Donated by: Karola Anatolia Müller,,,Previous owner/ex-collection: Karl Otto Müller; Previous owner/ex-collection: Hildegard Müller,2017,Gift of Karola Müller and Clare Strong in memory of Hildegard and K.O. Müller.,,Middle East,,,,,,
897,"As2001,07.1","As2001,07.1",https://www.britishmuseum.org/collection/object/W_As2001-07-1,armenian,armenian,mat,,,,,,"A floor-cover / mat; rectangular in shape, with rounded off corners.  Made from wool felt with a mid-brown 'ground'.  Design comprises two large confronting birds in each bottom corner, pecking at seed: purple (inner), green and white bodies, red feet and red and orange tail feathers.  Centre top a vertical line of four white linked triangles with a red tuft near outer border, framed by a white and pink star motif surrounded by yellow and green rays.  Grey/brown mottled felt on reverse.",Made by: Ahmet Zincirlioglu,,,,,,,2001 (circa),Made in|Found/Acquired,Tire|Tire,"38.06582,27.7273|27.7273",,Tire,,sheep wool,,,felted,Length: 81 centimetres; Width: 63 centimetres,,"Text written by the vendor Selcuk Girisik, whilst a research student at the London Institute, Central St. Martin's college.  Title: A Quest for Contemporary Felts in Anatolia.      Last year I was commissioned by the British Museum to travel around Turkey gathering together a group, or representative cross-section, of examples of contemporary felted textiles from the various regions, to extend and develop the Museum's existing collection.      The journey began from Istanbul and ended at the city called Mardin in the south east near the Iranian border.  The eight different regions visited were, it was discovered later, the only ones where felt makers and centres survive, apart from among the mountaineer nomadic groups such as the ‘Yuruk'.  I had gathered names and addresses in advance through recommendations of each to the other, and some obtained at the International Felt-makers' Association symposium.  In August I set off with a friend and colleague with two digital cameras and a borrowed car for a round trip of two thousand and seven hundred miles spread over a two-week period.      Our first destination was Kula, a small town of the Aegean region which had been a very important felt-making centre until the late 1970s.  Now there is only one workshop where they produce decorated, coloured, felted wool rugs or wall hangings.  The remaining makers were producing only plain felt.      The felt-makers' quarter is next to the tanneries, where they take and use fleece, called the scrub of hides.  Felt made of this second quality raw material smells very bad and tends to lose hair very quickly.  Eventually standards/requirements for felted rugs and wall hangings became more rigorous and compared to commercially produced items, local felts fell short of that standard.  Consumers switched to woven carpets and kilims made of better wool.      But one of the family businesses in town decided to carry on felt-making and, using better wool, is still producing some felt for the tourist trade in the bigger holiday resorts.  They use the same traditional motifs in their work, but in different colourways. ... Their felt was hard and tensile qualities were of a low standard.      Our next stop was Tire.  Mostly popular amongst the 'culture tour' tourists, this centre has one of the biggest populations of felt makers. They are local people and all are family businesses in which father and son are involved.  Felt making is in most cases a side activity, secondary to their fig orchards and vineyards. They work usually with chemical dyes, but one or two masters use natural dyes/vegetable dyes.  Wool from local sheep is their base raw material, supplemented by some other qualities from regions inland, principally Konya.       Apart from village commissions, they stock produce for the foreign tourist, as well as for local tourists. The feltmakers' quarter was decorated with bunches of hanging felts on their shop fronts or any free wall space they could find nearby.  Especially unusual shapes like oval and circular pieces are to be found, also arched-shaped prayer mats ...      One of the workshops had independently created a photographic documented archive, or sample book, of choices, which was open to suggestions for new commissions.  We placed two commissions to be collected on our way back from this field study tour.  We also took the opportunity to make a video of the procedures and process technology, step by step.      The neighbourhood with its workshops in such close proximity has generated a common or symbolic development in relation to the kind of visual iconography in the work produced.  The themes of the motifs, being very similar, show on closer inspection differentiation of individual approaches and variations of the same theme, very valuable for the semantic study of this research project.      I have been working on and off for the last fifteen years with one of the master felt-makers of Afyou, who we next visited.  A catalogue has been established of his range of products, together with some old samples.  Also he himself has been collecting some photographs from his own history.  This was the starting point from which to commission a few pieces for the B.M. collection.  The technique applied to his local wool had to be changed for this special occasion.  The final result was to convince us of his willingness to apply new methods to his technique and his capability of creating good quality felts by these methods ... He chose the deer cult image out of a Western drawing book, so the particular image is of a deer from a Walt Disney cartoon!      The city of Konya has been a very important centre for certain sects of the Muslim religion since the eleventh century until the present day. One of the sects established was named Akhi, or member of the brotherhood, and formed one of the first artisan guilds.  Their first chief was the master felt maker, and he was later closely associated with the Sufis through the son of Mvlana Cedflaleddin-I Rumi, who established the sect in Konya.  This historical context, together with the requirement that sufi's headwear must be distinctive, prompted the use of the ancient moulding or shaping capability of felt to exploit the city's craft skills.  It also helped to establish Konya as one of the most important centres not only for felt-makers but also for the attendant skills of its craftsmen in carpet and kilim weaving to a high level of excellence.      These established felt-makers in this city (numbers of whom are diminishing) are still producing high quality felt products, for which there is some demand by the newcomers to the area, such as tourists.  Likewise there is still a demand for apprenticeship in this craft.  The very fine levels of craftsmanship in both product and process technology, for example in the use of natural dyed raw material of the best available quality, good preparation of the wool, and better tuned machinery, are indicative of a high quality culture.      The feltmakers of Konya have kept very detailed photographic records of their traditionally produced pieces to use to attract new commissioned work.  These albums are also valuable historical documents as well as refreshing the memories of the feltmakers as they refer back to their own resource of motifs.      One of the workshops in this centre organises culture tours and accommodates amateur or would-be feltmakers from all over the world in and around its premises.  This particular master feltmaker has been invited to give demonstrations and workshops about felt-making in England, where he made connections resulting in many commissioned works and exports of felted work to many countries such as Canada, the USA and the UK.      The south-east Anatolian city of Urfa used to hold a very important position in feltmaking but the assimilation of nomadic groups of Kurdish and Turkish minorities by the central authorities led to a decline in the tradition.  As the sedentary settlements were enlarged to include these groups, a strategy employed to eliminate the possibility of terrorist action has been in force for the last fifteen years, leading to the disruption or local economic stability.  The older population has, as a result of its feudal history, been independent and anarchic towards any external authority that tried to impose change upon them.  The recent expansion in the population may eventually lead to changed structures, but not before a prolonged and difficult transition period has taken place.      On the periphery of this ancient culture there persisted a semi nomadic tradition where large families still meet for ritual feasts on such occasions as weddings, circumcision ceremonies and some religious holidays, gathering under their tents woven from black goat's hair.  Large felt rugs have usually been used to cover the ground and to sit upon during these meetings.  Many feltmakers are commissioned to produce this type of large, thick and very stiff felted rug.  These are not produced today to replace worn-out ones but made new for the following generation of these very traditionalist people.  Little if any consideration is given to quality, in the Western sense of the word; these products are strictly utilitarian, intended to last long and make these wild, empty interiors a little more dressed up to show the power of the family to which they belong.  The vivid colourways of the motifs are usually primitively stylised and abstractly designed on mainly natural-coloured background.  Some of the influence is distinctly Kurdish.  As at Kula, the feltmakers' quarter is side by side with the tannery and the clipped wool of the pelts, a by-product of the tanning process, is used in the middle of the felted pieces.  Usually felts produced in this way keep the strong smell of sheep for a very long time.      These Arabic and Kurdish nomadic groups used highly stylised and transposed motifs, such as the sun, mixed with the contemporary Turkish crescent and stars which have symbolic meaning, referring to the power of the republic and, reinforced by naming, for example, any star motif 'Commissar Star'. It is difficult to ascertain whether these titles have any element of irony considering the traditional nature of the people who devise them.        Mardin, the last stop in this tour of Anatolia, was suggested to us by one of the old felt-makers of Urfa, who told us that one of the last feltmakers in the region was Armenian or Syrian Orthodox.  However, when we arrived we found that he was dead, but there was another felt-maker, an old Kurdish man of 75, who is the last person to have a workshop here, though sadly no longer in use.  We were taken by the local tailor to the old man's workshop behind the fruit and vegetable market, but his old age, hearing difficulties and lack of the Turkish language made communication very difficult.  He had some left-over felted pieces from a client's large order locally commissioned.  The would-be client, who turned out to be 'on the fiddle', delayed producing any money, therefore the old man did not trust him and kept his pieces.  When he finished the 25-piece collection he wanted to sell out his business and retire.      The commissioned pieces referred to were brightly coloured, bulky, with motifs freely laid out on large background.  The excess dye in the coloured fleece was in a harmonious but random way blended into each other as a consequence of the stem finish process, creating half-toned mid-colours.  The exuberant energy of these special pieces was bright and sunny, they were also very good examples of using colour in this region as it varies from culture to culture.      It is usually the men who make felt in Anatolia, exceptions being found only among the mountaineer nomads called Yuruk.  Their feltmakers are women, as were their ancestors who migrated to Anatolia from Central Asia.",,Not on display,,,,,,,,Purchased from: Selcuk Gurisik,,,,2001,This commissioned collection was made on behalf of the Museum at eight felt-making centres across Turkey during the summer of 2001.,,Middle East,,,,,,
898,"19,920,113.61","19,920,113.61",https://www.britishmuseum.org/collection/object/C_1992-0113-6138,armenian,armenian,medal,,,,,,"Medal; oval; hole; damaged.; Bishop, bishop's mitre, patriarchal cross.; Christ on cross, Virgin Mary (?), St John the Evangelist (?).",,,,,,,,19thC-20thC (about),,,,,,,alloy,,,,Height: 21.000 millimetres; Width: 18.000 millimetres,Inscription type: inscription Inscription position: obverse Inscription quoted: ILLEGIBLE [SCRIPT COPTIC/ ARMENIAN ?]; Inscription type: inscription Inscription position: reverse Inscription quoted: ILLEGIBLE.,,,Not on display,,,saint/martyr| crucifixion| virgin mary,Representation of: St John the Evangelist (?),,,,Purchased from: Peter Stephen Cribb,,,,1992,,,Coins and Medals,,,,,,
899,EPH-ME.2866,EPH-ME.2866,https://www.britishmuseum.org/collection/object/W_EPH-ME-2866,armenian,armenian,photographic print,,,,,,Black and white photograph showing a man facing the direction of two black goats standing in the corner of a lightly graffitoed building.,,,,,,,,1914 (circa),,,,,,,paper,,,photographic process,Height: 14.10 centimetres; Width: 10.10 centimetres,,Old card; postally unused.,,Not on display,,Excellent condition,architectural feature,,,,,Donated by: M C A Macdonald,,,,2014,Acquired by the donor in Jerusalem in 1967 from an Armenian-run shop next to the Jaffa Gate. This photograph was part of a larger collection of postcards donated by Michael Macdonald.,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_11/11_12/6755bf6c_90d4_4e0e_8296_a3e000c949e1/preview_01584345_001.jpg
900,"19,120,730.40",104884,https://www.britishmuseum.org/collection/object/W_1912-0730-4,armenian,armenian,piercer,,,,,,Bone piercer; made from a piece of long bone.,,,,,,,Ubaid,5200BC-4000BC,Found/Acquired,Tilkitepe,"37.12472,40.96832",,Tilkitepe,,bone,,,,Length: 4.38 inches; Width: 0.56 inches,,"Originally registered as coming from Shamiram-alti, the earlier Armenian name for Tilkitepe.",,Not on display,,Fair,,,,,,Donated by: Lt-Col F R Maunsell,,,,1912,,,Middle East,104884,,,,,
901,"19,570,802.13","19,570,802.13",https://www.britishmuseum.org/collection/object/W_1957-0802-13,armenian,armenian,plate,,,,,,Plate. Armenian inscription and pseudo-Armenian inscription. Made of tinned copper.,,,,,,,Ottoman dynasty,1732,Found/Acquired,West Jerusalem,"31.78199,35.21961",,Jerusalem,-1918,copper; tin,,,tinned,Diameter: 10.87 inches,Inscription type: inscription Inscription position: rim Inscription language: Armenian Inscription script: Armenian Inscription quoted: Տավոթօղլի Պաղտասար ՌՃՁԱ Inscription transliteration: Tavot’olli  Paltasar 1181 Inscription translation: Tavotolli Paltasar 1181 [AD 1732] Inscription note: Transcribed and translated by Dr Vrej Nersessian,,,Not on display,,,,,,,,Donated by: Dr Charles Todd,,,,1957,,,Middle East,,,,,,
902,"19,570,802.18","19,570,802.18",https://www.britishmuseum.org/collection/object/W_1957-0802-18,armenian,armenian,plate,,,,,,Plate; tinned copper; rim angraved with floral ornament and Armenian inscription.,,,,,,,Ottoman dynasty,1722,Found/Acquired,West Jerusalem,"31.78199,35.21961",,Jerusalem,-1918,copper; tin,,,tinned; engraved,Diameter: 10.87 inches,"Inscription type: inscription Inscription position: rim Inscription language: Armenian Inscription script: Armenian Inscription quoted: Մ[Ա]Հ[ՏԵՍ]Ի ՍԻՄԱՒՈՆԻ ՈՐ ԴԻ ԹՈՒՄԱՍ ՌՃՀԱ Է Inscription transliteration: M[a]h[tes]i Simawoni ordi T‘oumas. 1171 é Inscription translation: T‘oumas, son of mahtesi [literally ""pilgrim to Jerusalem"", important person] Simawon. In the year [literally it is] 1171 [AD 1722]. Inscription note: Transcribed and translated by Prof. Dickran Kouymjian.",,,Not on display,,,,,,,,Donated by: Dr Charles Todd,,,,1957,,,Middle East,,,,,,
